# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     12     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      1      2      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     12     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     12     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
    0     11     31      -      0      0      0      0      0      0    405    210      4      5      0 
